Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An empirical study of IoT topics in IoT developer discussions on Stack Overflow","Empirical Software Engineering","","26","6","10.1007/s10664-021-10021-5","Gias UddinFatima SabirYann-Gaël GuéhéneucOmar AlamFoutse Khomh","2021","http://link.springer.com/article/10.1007/s10664-021-10021-5","Article"
"CEViNEdit: improving the process of creating cognitively effective graphical editors with GMF","Software and Systems Modeling","","20","3","10.1007/s10270-020-00833-2","David GranadaJuan M. VaraMercedes MerayoEsperanza Marcos","2021","http://link.springer.com/article/10.1007/s10270-020-00833-2","Article"
"New failure rate model for iterative software development life cycle process","Automated Software Engineering","","28","2","10.1007/s10515-021-00288-9","SangeetaSitenderKapil SharmaManju Bala","2021","http://link.springer.com/article/10.1007/s10515-021-00288-9","Article"
"What is a process model composed of?","Software and Systems Modeling","","20","4","10.1007/s10270-020-00847-w","Greta AdamoChiara GhidiniChiara Di Francescomarino","2021","http://link.springer.com/article/10.1007/s10270-020-00847-w","Article"
"Evaluating the DevOps Reference Architecture for Multi-cloud IoT-Applications","SN Computer Science","","2","2","10.1007/s42979-021-00519-6","Georges Bou GhantousAsif Qumer Gill","2021","http://link.springer.com/article/10.1007/s42979-021-00519-6","Article"
"Commit2Vec: Learning Distributed Representations of Code Changes","SN Computer Science","","2","3","10.1007/s42979-021-00566-z","Rocío Cabrera LozoyaArnaud BaumannAntonino SabettaMichele Bezzi","2021","http://link.springer.com/article/10.1007/s42979-021-00566-z","Article"
"Accelerating DES and AES Algorithms for a Heterogeneous Many-core Processor","International Journal of Parallel Programming","","49","3","10.1007/s10766-021-00692-4","Biao XingDanDan WangYongquan YangZhiqiang WeiJiajing WuCuihua He","2021","http://link.springer.com/article/10.1007/s10766-021-00692-4","Article"
"Container orchestration on HPC systems through Kubernetes","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00231-z","Naweiluo ZhouYiannis GeorgiouMarcin PospiesznyLi ZhongHuan ZhouChristoph NiethammerBranislav PejakOskar MarkoDennis Hoppe","2021","http://link.springer.com/article/10.1186/s13677-021-00231-z","Article"
"Understanding peer review of software engineering papers","Empirical Software Engineering","","26","5","10.1007/s10664-021-10005-5","Neil A. ErnstJeffrey C. CarverDaniel MendezMarco Torchiano","2021","http://link.springer.com/article/10.1007/s10664-021-10005-5","Article"
"AI lifecycle models need to be revised","Empirical Software Engineering","","26","5","10.1007/s10664-021-09993-1","Mark HaakmanLuís CruzHennie HuijgensArie van Deursen","2021","http://link.springer.com/article/10.1007/s10664-021-09993-1","Article"
"Verification and refutation of C programs based on k-induction and invariant inference","International Journal on Software Tools for Technology Transfer","","23","2","10.1007/s10009-020-00564-1","Omar M. AlhawiHerbert RochaMikhail R. GadelhaLucas C. CordeiroEddie Batista","2021","http://link.springer.com/article/10.1007/s10009-020-00564-1","Article"
"A new enhanced cyber security framework for medical cyber physical systems","SICS Software-Intensive Cyber-Physical Systems","","","","10.1007/s00450-021-00427-3","Ishaani PriyadarshiniRaghvendra KumarLe Minh TuanLe Hoang SonHoang Viet LongRohit SharmaSakshi Rai","2021","http://link.springer.com/article/10.1007/s00450-021-00427-3","Article"
"LIMES: A Framework for Link Discovery on the Semantic Web","KI - Künstliche Intelligenz","","","","10.1007/s13218-021-00713-x","Axel-Cyrille Ngonga NgomoMohamed Ahmed SherifKleanthi GeorgalaMofeed Mohamed HassanKevin DreßlerKlaus LykoDaniel ObraczkaTommaso Soru","2021","http://link.springer.com/article/10.1007/s13218-021-00713-x","Article"
"Applying test case prioritization to software microbenchmarks","Empirical Software Engineering","","26","6","10.1007/s10664-021-10037-x","Christoph LaaberHarald C. GallPhilipp Leitner","2021","http://link.springer.com/article/10.1007/s10664-021-10037-x","Article"
